key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/!str_skaven																																																						
bc_ror_plaguevermin	10	wh2_main_heavy_metal_90	2650	inf_melee	30	inf_mel	wh2_main_unit_long_text_skv_inf_stormvermin_0	hu17_skaven_council_halberd	wh2_main_skv_infantry_heavy	77	30	85	95		0	bc_plague_blessed		8	none	bc_ror_plaguevermin	wh2_main_infantry_medium_rabble	elite			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_1	60	80	0	vo_sel_generic	vo_sel_skv_Stormvermin	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
bc_ror_creeping_death	10	wh2_main_body_10	2650	inf_melee	55	inf_mel	wh2_main_unit_long_text_skv_inf_plague_monk_censer_bearer	hu17_skaven_monk_censer	wh2_main_skv_infantry_plague_monk_censer	90	35	100	72		0	wh2_main_skv_censer		6	none	bc_ror_creeping_death	wh2_main_infantry_chaotic_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_1	60	80	0	vo_sel_skv_Blightscabs_Plaguepack	vo_sel_skv_Plague_Monk_Censer_Bearers	vo_sel_culture	1.0000	small	0	0	0	0	0	15	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
bc_ror_bilekin	10	wh2_main_body_10	2650	inf_melee	30	inf_mel	wh2_main_unit_long_text_skv_inf_plague_monks	hu17_skaven_dual_sword	wh2_main_skv_infantry_plague_monk	76	37	95	72		0	bc_bilekin		6	none	bc_ror_bilekin	wh_main_infantry_rabble	well_trained			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_1	60	80	0	vo_sel_skv_Plague_Monks	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	15	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
bc_ror_chained_ones	10	wh_main_body_0	2650	inf_melee	25	inf_mel	wh2_main_unit_long_text_skv_inf_skavenslaves_0	hu17_skaven_sword_and_globe	wh2_main_skv_infantry_small	40	24	70	72		0	wh2_main_skv_sword_skavenslaves	bc_chained_proj	8	wh_missile_block_35_wood	bc_ror_chained_ones	wh2_main_inf_chaotic_formation_tight	poorly_trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	26	vo_sel_skv_Skavenslaves	vo_sel_generic	vo_sel_culture	0.8000	small	0	2	0	20	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_expendable		
bc_ror_slimeblades	10	wh2_main_plate_50	2650	inf_melee	15	inf_mel	wh2_main_unit_long_text_skv_inf_clanrats_1	hu17_skaven_stormvermin_sword_and_shield	wh2_main_skv_infantry	45	60	78	72		0	bc_slimeblades		8	wh_missile_block_35_wood	bc_ror_slimeblades	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_1	60	80	0	vo_sel_skv_Plague_Monks	vo_sel_skv_Clanrats	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
bc_ror_virulent_batteries	10	wh2_main_leather_30	2650	artillery	22	art_fld	wh2_main_unit_long_text_skv_art_plagueclaw_catapult	hu17_skaven_sword	wh2_dlc16_skv_infantry_crew	75	36	64	43		0	wh2_main_skv_sword		4	none	bc_ror_virulent_batteries	wh_main_artillery	elite		bc_virulent_batteries	true	40.0000	1500.0000	wh2_main_skv_art_plagueclaw_catapult	60	80	26	vo_sel_skv_Plagueclaw_Catapult	vo_sel_generic	vo_sel_culture	1.0000	small	0	40	0	0	4	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_artillery		wh2_main_skv_art_plagueclaw_catapult
hcm_ror_ironskins	10	wh2_main_chainmail_110	2650	inf_melee	18	inf_mel	hcm_ror_ironskins	hu17_skaven_stormvermin_sword_and_shield	wh2_main_skv_infantry_heavy	45	70	85	95		0	wh2_main_skv_sword_stormvermin		7	wh_missile_block_35_wood	hcm_ror_ironskins	wh2_main_infantry_medium_rabble	elite			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_1	60	80	0	vo_sel_skv_Stormvermin	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
hcm_ror_fangsnapper	10	wh2_main_heavy_metal_90	2650	inf_melee	6	inf_mel	hcm_ror_fangsnapper	hu17_skaven_spear_and_shield	wh2_main_skv_infantry	40	65	78	72		0	wh2_main_skv_halberd		8	wh_missile_block_35_wood	hcm_ror_fangsnapper	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrat_spearmen_1	60	80	0	vo_sel_skv_Clanrats_Spearmen	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
hcm_ror_blacktail	10	wh2_main_plate_50	2650	inf_melee	6	inf_mel	hcm_ror_blacktail	hu17_skaven_spear_and_shield	wh2_main_skv_infantry	38	63	68	72		0	wh2_main_skv_spear		8	wh_missile_block_35_wood	hcm_ror_blacktail	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrat_spearmen_1	60	80	0	vo_sel_skv_Clanrats_Spearmen	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
