key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/!str_vrrtkin																																																						
clan_vrrtkin_clanrat_basic	10	wh2_main_plate_50	2650	inf_melee	20	inf_mel	clan_vrrtkin_clanrat_basic	hu17_skaven_sword	wh2_main_skv_infantry	45	38	68	72		0	clan_vrrtkin_skv_sword		6	none	clan_vrrtkin_clanrat_basic	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Clanrats	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_clanrat_shield	10	wh2_main_plate_50	2650	inf_melee	15	inf_mel	clan_vrrtkin_clanrat_shield	hu17_skaven_sword_and_globe	wh2_main_skv_infantry	35	38	68	72		0	clan_vrrtkin_skv_sword	clan_vrrtkin_poison_globe	6	none	clan_vrrtkin_clanrat_shield	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Clanrats	vo_sel_generic	vo_sel_culture	0.8000	small	0	1	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_clanrat_spear	10	wh2_main_plate_50	2650	inf_melee	6	inf_mel	clan_vrrtkin_clanrat_spear	hu17_skaven_spear	wh2_main_skv_infantry	50	40	68	72		0	clan_vrrtkin_skv_spear		6	none	clan_vrrtkin_clanrat_spear	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrat_spearmen_0	60	80	0	vo_sel_skv_Clanrats_Spearmen	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_clanrat_spear_shield	10	wh2_main_plate_50	2650	inf_melee	6	inf_mel	clan_vrrtkin_clanrat_spear_shield	hu17_skaven_sword_and_globe	wh2_main_skv_infantry	40	40	68	72		0	clan_vrrtkin_skv_spear	clan_vrrtkin_poison_globe	6	none	clan_vrrtkin_clanrat_spear_shield	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrat_spearmen_0	60	80	0	vo_sel_skv_Clanrats_Spearmen	vo_sel_generic	vo_sel_culture	0.8000	small	0	1	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_skavenslave_spearmen	10	wh_main_body_0	2650	inf_melee	25	inf_mel	clan_vrrtkin_skavenslave_spearmen	hu17_skaven_spear	wh2_main_skv_infantry_small	38	10	58	72		0	wh2_main_skv_spear_skavenslaves		6	none	clan_vrrtkin_skavenslave_spearmen	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	0	vo_sel_skv_Skavenslave_Spearmen	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_skavenslaves	10	wh_main_body_0	2650	inf_melee	25	inf_mel	clan_vrrtkin_skavenslaves	hu17_skaven_sword	wh2_main_skv_infantry_small	30	25	58	72		0	wh2_main_skv_sword_skavenslaves		6	none	clan_vrrtkin_skavenslaves	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	0	vo_sel_skv_Skavenslaves	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_stormvermin	10	wh2_main_heavy_metal_90	2650	inf_melee	20	inf_mel	clan_vrrtkin_stormvermin	hu17_skaven_halberd	wh2_main_skv_infantry_heavy	65	32	75	95		0	clan_vrrtkin_skv_halberd		5	none	clan_vrrtkin_stormvermin	wh2_main_infantry_medium_rabble	elite			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_0	60	80	0	vo_sel_skv_Stormvermin	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_stormvermin_shield	10	wh2_main_heavy_metal_90	2650	inf_melee	18	inf_mel	clan_vrrtkin_stormvermin_shield	hu17_skaven_sword_and_globe	wh2_main_skv_infantry_heavy	45	38	75	95		0	clan_vrrtkin_skv_sword_stormvermin	clan_vrrtkin_cutthroat	5	none	clan_vrrtkin_stormvermin_shield	wh2_main_infantry_medium_rabble	elite			true	40.0000	1500.0000	wh2_main_skv_inf_stormvermin_1	60	80	0	vo_sel_skv_Stormvermin	vo_sel_generic	vo_sel_culture	1.0000	small	0	1	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_skavenslave_slingers	10	wh_main_body_0	2650	inf_ranged	4	inf_mis	clan_vrrtkin_skavenslave_slingers	hu17_skaven_sword_and_sling	wh2_main_skv_infantry_small	35	8	58	72		0	wh2_main_skv_sword_skavenslaves	clan_vrrtkin_skavenslave_sling	5	none	clan_vrrtkin_skavenslave_slingers	wh2_main_inf_chaotic_formation_loose	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	10	vo_sel_skv_Skavenslave_Slingers	vo_sel_generic	vo_sel_culture	0.8000	small	0	50	0	0	0	0	0	0	ranged_harasser	true	true	false	false	medium	medium	domination_infantry		
clan_vrrtkin_poison_wind_globadiers	10	wh2_main_leather_25	2650	inf_ranged	6	inf_mis	clan_vrrtkin_poison_wind_globadiers	hu17_skaven_sword_and_globe	wh2_main_skv_infantry_heavy_globadiers	22	40	65	70		0	clan_vrrtkin_skv_sword	clan_vrrtkin_poison_globe	3	none	clan_vrrtkin_poison_wind_globadiers	wh_main_infantry_large	elite			true	40.0000	1500.0000	wh_hideForest	60	80	10	vo_sel_skv_Poison_Wind_Globadiers	vo_sel_generic	vo_sel_culture	1.0000	small	0	30	0	0	0	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_infantry		
clan_vrrtkin_death_globe_bombardiers	10	wh2_main_leather_30	2650	inf_ranged	8	inf_mis	clan_vrrtkin_death_globe_bombardiers	hu17_skaven_sword_and_globe	wh2_main_skv_infantry_heavy	22	42	70	72		0	clan_vrrtkin_skv_sword	clan_vrrtkin_death_globe	3	none	clan_vrrtkin_death_globe_bombardiers	wh_main_infantry_large	mob			true	40.0000	1500.0000	wh_hideForest	60	80	10	vo_sel_skv_Death_Globe_Bombardiers	vo_sel_generic	vo_sel_culture	1.0000	small	0	30	0	0	0	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_infantry		
