key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/str_crooktail																																																						
str_crooktail_rat_spawn	10	wh2_main_body_30	2100	inf_melee	54	inf_mel	str_crooktail_rat_spawn	hc2_chaos_spawn	wh2_dlc16_skv_monster_rat_ogre_mutant_blood	42	34	100	826		0	str_crooktail_rat_spawn		3	none	str_crooktail_rat_spawn	wh_main_monstrous_infantry_chaotic	trained			true	40.0000	1500.0000	str_crooktail_rat_spawn	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_monsters		
str_crooktail_rat_spawn_summoned	10	wh2_main_body_30	2100	inf_melee	54	inf_mel	str_crooktail_rat_spawn	hc2_chaos_spawn	wh2_dlc16_skv_monster_rat_ogre_mutant_blood	42	34	100	826		0	str_crooktail_rat_spawn		3	none	str_crooktail_rat_spawn	wh_main_monstrous_infantry_chaotic	trained			true	40.0000	1500.0000	str_crooktail_rat_spawn	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_monsters		
str_crooktail_rat_spawn_hero	10	wh2_main_body_30	2100	inf_melee	58	com	str_crooktail_rat_spawn_character	hc2_chaos_spawn	wh2_dlc16_skv_monster_rat_ogre_mutant_blood	46	38	100	4848		0	str_crooktail_rat_spawn_character		1	none	str_crooktail_rat_spawn_character	wh_main_hero	well_trained			true	40.0000	1500.0000	str_crooktail_rat_spawn_character	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
str_crooktail_rat_spawn_lord	10	wh2_main_body_30	2100	inf_melee	60	com	str_crooktail_rat_spawn_character	hc2_chaos_spawn	wh2_dlc16_skv_monster_rat_ogre_mutant_blood	48	40	100	4848		0	str_crooktail_rat_spawn_character		1	none	str_crooktail_rat_spawn_character	wh_main_hero	well_trained			true	40.0000	1500.0000	str_crooktail_rat_spawn_character	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
str_crooktail_viciss	10	wh2_main_body_30	2100	inf_melee	60	com	str_crooktail_viciss	crooktail_lord_kou	str_crooktail_lord_kou_vfx_mon_nakai	56	40	100	7360		0	str_crooktail_viciss		1	none	str_crooktail_viciss	wh_main_monstrous_trolls	trained			true	40.0000	1500.0000	str_crooktail_viciss	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
str_crooktail_slave_ror	10	wh_main_body_0	2100	inf_melee	5	inf_mel	str_crooktail_slave_ror	hu17_skaven_sword	wh2_main_skv_infantry_small	17	14	45	42		0	wh2_main_skv_sword_skavenslaves		8	none	str_crooktail_slave_ror	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	0	vo_sel_skv_Skavenslaves	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_expendable		
str_crooktail_slave_ror_rats	10	wh_main_body_0	2100	inf_melee	20	inf_mel	str_crooktail_slave_ror	rt1_giant_rat	cr_skv_monster_giant_rat_blood	17	14	45	42		0	cr_skv_giant_rat		8	none	str_crooktail_slave_ror	cr_skv_giant_rats	trained			true	40.0000	1500.0000	str_crooktail_slave_ror_rats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_flanker	false	true	false	false	medium	medium	domination_monsters		
str_crooktail_slinger_ror	10	wh_main_body_0	2100	inf_ranged	4	inf_mis	str_crooktail_slinger_ror	hu17_skaven_sword_and_sling	wh2_main_skv_infantry_small	6	7	43	40		0	wh2_main_skv_sword_skavenslaves	str_crooktail_slinger_ror_sling	5	none	str_crooktail_slinger_ror	wh2_main_inf_chaotic_formation_loose	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslave_slingers_0	60	80	18	vo_sel_skv_Skavenslave_Slingers	vo_sel_generic	vo_sel_culture	0.8000	small	0	22	0	0	0	0	0	0	ranged_harasser	true	true	false	false	medium	medium	domination_infantry_expendable		
str_crooktail_clanrat_ror	10	wh2_main_leather_25	2100	inf_melee	16	inf_mel	str_crooktail_clanrat_ror	hu17_skaven_dual_sword	wh2_main_skv_infantry	31	24	55	60		0	str_crooktail_clanrat_ror		8	none	str_crooktail_clanrat_ror	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Scabrous_Elders_of_the_Pox	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	30	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
