key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/str_pestilent																																																						
bc_rotten_rodent_dual	10	wh2_main_leather_25	2100	inf_melee	16	inf_mel	wh2_main_unit_long_text_skv_inf_clanrats_0	hu17_skaven_dual_sword	wh2_main_skv_infantry	24	18	45	60		0	bc_rotten_rodent_dual_swords		8	none	bc_rotten_rodent_dual	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Scabrous_Elders_of_the_Pox	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
bc_rotten_rodent	10	wh2_main_leather_25	2100	inf_melee	12	inf_mel	wh2_main_unit_long_text_skv_inf_clanrats_0	hu17_skaven_sword	wh2_main_skv_infantry	24	18	45	60		0	wh2_main_skv_sword		8	none	bc_rotten_rodent_dual	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrats_0	60	80	0	vo_sel_skv_Scabrous_Elders_of_the_Pox	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry		
bc_pusbags	10	wh_main_body_0	2100	inf_melee	5	inf_mel	wh2_main_unit_long_text_skv_inf_skavenslaves_0	hu17_skaven_sword	wh2_main_skv_infantry_small	12	10	35	40		0	wh2_main_skv_sword_skavenslaves		8	none	bc_pusbags	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	0	vo_sel_skv_The_Needless_Less	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_expendable		
bc_pusbags_flail	10	wh_main_body_0	2100	inf_melee	10	inf_mel	wh2_main_unit_long_text_skv_inf_skavenslaves_0	hu17_skaven_dual_sword	wh2_main_skv_infantry_small	16	6	35	40		0	bc_pusbags_flail		8	none	bc_pusbags	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslaves_0	60	80	0	vo_sel_skv_The_Needless_Less	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_expendable		
bc_pusbags_sling	10	wh_main_body_0	2100	inf_ranged	4	inf_mis	wh2_main_unit_long_text_skv_inf_skavenslave_slingers_0	hu17_skaven_sword_and_sling	wh2_main_skv_infantry_small	6	7	33	37		0	wh2_main_skv_sword_skavenslaves	wh2_main_skv_sling	5	none	bc_pusbags	wh2_main_inf_chaotic_formation_loose	trained			true	40.0000	1500.0000	wh2_main_skv_inf_skavenslave_slingers_0	60	80	10	vo_sel_skv_Skavenslave_Slingers	vo_sel_generic	vo_sel_culture	0.8000	small	0	22	0	0	0	0	0	0	ranged_harasser	true	true	false	false	medium	medium	domination_infantry_expendable		
bc_frothing_giant_rats	10	wh2_main_body_15	2100	inf_melee	28	inf_mel	wh2_dlc16_unit_long_text_skv_mon_wolf_rats	wf1_dlc16_wolf_rat	wh2_dlc16_skv_monster_wolf_rat_blood	28	19	34	75		0	wh2_dlc16_skv_wolf_rat_ap		6	none	bc_frothing_giant_rats	wh_main_war_beasts	trained			true	40.0000	1500.0000	wh2_dlc16_skv_mon_wolf_rats_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_flanker	false	true	false	false	high	high	domination_cav		
bc_frothing_giant_rats_poison	10	wh2_main_body_15	2100	inf_melee	28	inf_mel	wh2_dlc16_unit_long_text_skv_mon_wolf_rats	wf1_dlc16_wolf_rat	wh2_dlc16_skv_monster_wolf_rat_poison_blood	28	19	34	75		0	wh2_dlc16_skv_wolf_rat_poison		6	none	bc_frothing_giant_rats	wh_main_war_beasts	trained			true	40.0000	1500.0000	wh2_dlc16_skv_mon_wolf_rats_1	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_flanker	false	true	false	false	high	high	domination_cav		
bc_mad_rat_ogres	0	wh2_main_body_30	2100	inf_melee	46	inf_mel	wh2_main_unit_long_text_skv_mon_rat_ogres	hu18_rat_ogre_claws	wh2_main_skv_monster_rat_ogre	31	28	66	475		0	wh2_main_skv_rat_ogre		3	none	bc_mad_rat_ogres	wh_main_monstrous_infantry_chaotic	trained			true	40.0000	1500.0000	bc_fear_hideForest_immPsy_moulderMonster	60	80	0	vo_sel_default	vo_sel_default	vo_sel_default	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_monsters		
bc_rat_spawn	10	wh2_main_body_30	2100	inf_melee	54	inf_mel	wh2_main_unit_long_text_skv_mon_rat_ogres	hc2_chaos_spawn	wh2_dlc16_skv_monster_rat_ogre_mutant_blood	42	34	100	826		0	bc_rat_spawn		3	none	bc_rat_spawn	wh_main_monstrous_infantry_chaotic	trained			true	40.0000	1500.0000	bc_fear_hideForest_immPsy_moulderMonster	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_monsters		
bc_stinking_thing	10	wh2_main_heavy_metal_90	2100	inf_melee	15	com	wh2_dlc16_unit_long_text_skv_cha_chieftain	hu17_skaven_halberd	wh2_main_skv_infantry_fast_hero_queek_headtaker	40	45	50	3986		0	wh2_dlc16_tmb_chieftain_halberd		1	none	bc_stinking_thing	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc16_skv_cha_chieftain_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
bc_festering_chantor	10	wh2_main_body_20	2100	inf_melee	16	com	wh2_main_unit_long_text_skv_cha_plague_priest_0	hu17_skaven_council_halberd	wh2_main_skv_infantry_hero_plague_priest	28	24	50	3065		0	bc_festering_chantor		1	none	bc_festering_chantor	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_skv_cha_plague_priest_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters		
bc_plague_lord	10	wh2_main_heavy_metal_90	2100	inf_melee	40	com	wh2_main_unit_long_text_skv_cha_warlord_0	hu17_skaven_censer	wh2_main_skv_infantry_hero_skrolk	52	36	60	5075		0	bc_plague_lord		1	none	bc_plague_lord	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_skv_cha_warlord_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
bc_plague_pontifex	10	wh2_main_body_20	2100	inf_melee	22	com	wh2_main_unit_long_text_skv_cha_plague_priest_0	hu17_skaven_censer	wh2_main_skv_infantry_hero_skrolk	42	36	60	4248		0	bc_plague_pontifex		1	none	bc_plague_pontifex	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_skv_cha_grey_seer_plague_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters		
bc_nurglitch	10	wh2_main_leather_30	2100	inf_melee	60	com	wh2_main_unit_long_text_skv_cha_lord_skrolk	varg_nurglitch_fragment1	wh2_main_skv_infantry_hero_skrolk	58	50	69	5075		0	bc_plague_lord		1	none	bc_nurglitch	wh_main_infantry	trained			true	40.0000	1500.0000	bc_nurglitch	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	20	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters		
