key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/str_verms																																																						
str_verms_giant_spider	10	wh2_main_bone_70	2100	inf_melee	28	inf_mel	str_verms_giant_spider	sp1_giant_spider	wh_main_monster_spider_giant_blood	30	28	47	511		0	str_verms_gs_wep		2	none	str_verms_giant_spider	wh_main_monstrous_spiders	trained			true	40.0000	1500.0000	str_verms_giant_spider	60	80	0	vo_sel_goblin_arachnorak	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_monsters		
str_verms_spider_hatchling	10	wh2_main_bone_45	2100	inf_melee	19	inf_mel	str_verms_spider_hatchling	sp1_giant_spider	wh_dlc06_monster_spider_hatchlings_blood	22	20	44	65		0	wh_dlc06_grn_spider_fangs_0		6	none	str_verms_spider_hatchling	wh_dlc06_infantry_spider	trained			true	40.0000	1500.0000	str_verms_spider_hatchling	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
str_verms_bats	10	wh_main_body_0	2100	inf_melee	6	inf_mel	str_verms_bats	ba1_bat	wh_main_flying_fell_bat_blood	17	44	42	62		0	str_verms_bat_wep		7	none	str_verms_bats	wh_main_fellbats	trained			true	40.0000	1500.0000	str_verms_bats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture		
str_verms_flies	10	wh_main_body_0	2100	inf_melee	8	inf_mel	str_verms_flies	in1_wh3_rot_fly	str_verms_flies	9	12	36	18		0	str_verms_fly_wep		8	none	str_verms_flies	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	str_verms_bats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	-25	0	0	0	25	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture		
str_verms_toads	10	wh2_main_leather_50	2100	inf_melee	36	inf_mel	str_verms_toads	to1_wh3_plague_toad	wh3_main_nur_mnt_plague_toad	30	24	50	250		0	wh3_main_nur_plague_toad_maw		3	none	str_verms_toads	wh3_main_cavalry_plague_toads	trained			true	40.0000	1500.0000	wh3_main_nur_mon_plague_toads_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_monsters		
str_verms_scorpions	0	wh2_main_bone_55	2100	inf_melee	11	inf_mel	str_verms_scorpions	sc1_scorpion01	str_verms_scorpions	20	16	43	36		0	str_verms_scorp_wep		8	none	str_verms_scorpions	wh_dlc06_infantry_spider	trained			true	40.0000	1500.0000	str_verms_scorpions	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	0.7500	small	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_monsters		
str_verms_giant_bat	10	wh2_main_body_40	2100	inf_melee	12	inf_mel	str_verms_giant_bat	ba1_bat	str_verms_giant_bat	24	48	49	5095		0	str_verms_giant_bat_wep		1	none	str_verms_giant_bat	wh_main_monster	trained			true	40.0000	1500.0000	str_verms_bats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large_bst	0	0	0	0	0	0	0	0	flying_melee_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture		
str_verms_giant_scorpion	0	wh2_main_bone_80	2100	inf_melee	17	inf_mel	str_verms_giant_scorpion	sc1_scorpion01	wh2_dlc09_tmb_mon_tomb_scorpion	29	25	54	6012		0	str_verms_giant_scorp_wep		1	none	str_verms_giant_scorpion	wh_main_monster	trained			true	40.0000	1500.0000	str_verms_giant_scorpions	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	large_bst	0	0	0	0	0	0	0	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters		
str_verms_verminkeepers	10	wh2_main_leather_20	2100	inf_melee	6	inf_mel	str_verms_verminkeepers	hu17_skaven_halberd	wh2_main_skv_infantry_fast	14	22	45	52		0	str_verms_verminkeeper_wep		8	none	str_verms_verminkeepers	wh_main_infantry_rabble	trained			true	40.0000	1500.0000	wh2_main_skv_inf_clanrat_spearmen_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	0.8000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry		
