unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/!str_skaven																																													
bc_ror_plaguevermin		1	melee_infantry	2	false	bc_ror_plaguevermin	140	1	1150	wh_main_shp_transport	1	1	160	1755	337	medium		0	791921668	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	4	false	skv_clan_rats		false		1350.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_dlc12_vo_actor_Skaven_Vocalisation_Orders	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_creeping_death		1	melee_infantry	2	false	bc_ror_creeping_death	120	1	1000	wh_main_shp_transport	1	1	100	1690	325	medium		0	791921669	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_censer	4	false	skv_plague_monks		false		1300.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Plague_Monk	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_bilekin		1	melee_infantry	1	false	bc_ror_bilekin	120	1	750	wh_main_shp_transport	1	1	100	1500	262	medium		0	791921670	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	3	false	skv_plague_monks		false		1050.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Plague_Monk	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_chained_ones		1	melee_infantry	1	false	bc_ror_chained_ones	260	1	350	wh_main_shp_transport	1	1	180	450	75	medium		0	791921671	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		300.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_slimeblades		1	melee_infantry	1	false	bc_ror_slimeblades	180	1	500	wh_main_shp_transport	1	1	160	750	125	medium		0	791921672	true	wh2_main_vo_culture_Skaven	infantry_sword	3	false	skv_clan_rats		false		500.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
bc_ror_virulent_batteries		1	warmachine	2	false	bc_ror_virulent_batteries	56	1	950	wh_main_shp_transport	1	1	56	1550	300	medium		0	791921673	true	wh2_main_vo_culture_Skaven	catapult	2	false	skv_clan_rats		false		1250.0000	810.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcm_ror_ironskins		1	melee_infantry	2	false	hcm_ror_ironskins	100	1	1225	wh_main_shp_transport	1	1	160	1755	325	medium		0	710643241	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_sword_stormvermin	5	false	skv_clan_rats		false		1425.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcm_ror_fangsnapper		1	melee_infantry	1	false	hcm_ror_fangsnapper	160	1	600	wh_main_shp_transport	1	1	160	900	180	medium		0	710643242	true	wh2_main_vo_culture_Skaven	infantry_spear	3	false	skv_clan_rats_20_degrees		false		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcm_ror_blacktail		1	melee_infantry	1	false	hcm_ror_blacktail	180	1	1000	wh_main_shp_transport	1	1	160	1495	288	medium		0	710643243	true	wh2_main_vo_culture_Skaven	infantry_spear	3	false	skv_clan_rats_20_degrees		false		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcm_ror_mangefurs		1	melee_infantry	1	false	hcm_ror_mangefurs	180	1	500	wh_main_shp_transport	1	1	160	750	100	medium		0	710643244	true	wh2_main_vo_culture_Skaven	infantry_sword	2	false	skv_clan_rats		false		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcm_ror_vatbacks		1	missile_infantry	1	false	hcm_ror_vatbacks	48	1	950	wh_main_shp_transport	1	1	60	1500	270	medium		0	710643245	true	wh2_main_vo_culture_Skaven	wh2_main_skv_missile_infantry_globe	3	false	skv_clan_rats		false		50.0000	750.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcs_ror_lektrik_coven		1	missile_infantry	1	false	hcs_ror_lektrik_coven	16	1	1500	wh_main_shp_transport	1	1	16	3000	390	medium		0	710643345	true	wh2_main_vo_culture_Skaven	dwf_irondrakes_torpedo	4	false	skv_clan_rats		false		400.0000	1600.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcs_ror_technox		1	missile_infantry	1	false	hcs_ror_technox	24	1	1300	wh_main_shp_transport	1	1	24	2800	380	medium		0	710643346	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_weapon_team_warpfire	4	false	skv_clan_rats		false		800.0000	1000.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcs_ror_doomwheel_brigade		1	warmachine	3	false	hcs_ror_doomwheel_brigade	100	1	2550	wh_main_shp_transport	1	1	240	2900	588	heavy		0	710643347	true	wh2_main_vo_culture_Skaven	wh2_main_skv_doomwheel	5	true	skv_doomwheel		false		2350.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcs_ror_blackarc		1	warmachine	2	false	hcs_ror_blackarc	56	1	1000	wh_main_shp_transport	1	1	56	1560	300	medium		0	710643348	true	wh2_main_vo_culture_Skaven	cannon	4	false	skv_clan_rats		false		120.0000	1280.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
hcs_ror_warpfangs		1	melee_infantry	1	false	hcs_ror_warpfangs	36	1	900	wh_main_shp_transport	1	1	80	1400	325	medium		0	710643349	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_weapon_team_warp_grinder	3	false	skv_warp_grinders		false		1200.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
kratch_ror_deathvermin		1	melee_infantry	2	false	kratch_ror_deathvermin	100	1	1150	wh_main_shp_transport	1	1	160	1755	337	medium		0	791921668	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	4	false	skv_clan_rats		false		1350.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_dlc12_vo_actor_Skaven_Vocalisation_Orders	0	true	false	1	false	false		0.0000	true	1	true
slaves_slingers_shielded		-1	missile_infantry	1	false	slaves_slingers_shielded	200	0	250	wh_main_shp_transport	1	1	140	260	35	medium		0	896543217	true	wh2_main_vo_culture_Skaven	wh2_main_missile_infantry_sling	1	false	skv_clan_rats		false		65.0000	160.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
