unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/!str_skv_mordheim																																													
str_verminkin		-1	missile_infantry	1	false	str_verminkin	120	0	300	wh_main_shp_transport	1	1	120	500	100	medium		0	319627610	true	wh2_main_vo_culture_Skaven	str_verminkin	1	false	skv_clan_rats		false		150.0000	150.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_night_runners		-1	missile_infantry	1	false	str_night_runners	120	0	550	wh_main_shp_transport	1	1	120	650	160	medium		0	319627611	true	wh2_main_vo_culture_Skaven	str_night_runners	1	false	skv_clan_rats		false		450.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_warpguard		-1	melee_infantry	1	false	str_warpguard	120	0	400	wh_main_shp_transport	1	1	120	600	100	medium		0	319627612	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		400.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_warpguard_halberd		-1	melee_infantry	1	false	str_warpguard_halberd	120	0	400	wh_main_shp_transport	1	1	120	600	100	medium		0	319627613	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	1	false	skv_clan_rats_20_degrees		false		400.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_black_skaven		-1	melee_infantry	1	false	str_black_skaven	120	0	900	wh_main_shp_transport	1	1	120	1050	200	medium		0	319627614	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_infantry_guandao	3	false	skv_clan_rats		false		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
str_verminkin_ror		1	missile_infantry	1	false	str_verminkin_ror	120	1	500	wh_main_shp_transport	1	1	120	700	125	medium		0	319627615	true	wh2_main_vo_culture_Skaven	str_verminkin	1	false	skv_clan_rats		false		150.0000	150.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	false
str_night_runners_ror		1	missile_infantry	1	false	str_night_runners_ror	120	1	800	wh_main_shp_transport	1	1	120	850	200	medium		0	319627616	true	wh2_main_vo_culture_Skaven	str_night_runners	1	false	skv_clan_rats		false		450.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	false
str_warpguard_ror		1	melee_infantry	1	false	str_warpguard_ror	120	1	600	wh_main_shp_transport	1	1	120	800	125	medium		0	319627617	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		400.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	false
str_warpguard_halberd_ror		1	melee_infantry	1	false	str_warpguard_halberd_ror	120	1	600	wh_main_shp_transport	1	1	120	800	125	medium		0	319627618	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	1	false	skv_clan_rats_20_degrees		false		400.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	false
str_black_skaven_ror		1	melee_infantry	1	false	str_black_skaven_ror	120	1	1250	wh_main_shp_transport	1	1	120	1400	287	medium		0	319627619	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_infantry_guandao	3	false	skv_clan_rats		false		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	false
str_shadow_ogre		-1	monstrous_infantry	1	false	str_shadow_ogre	16	3	800	wh_main_shp_transport	1	1	16	1040	200	medium		0	319627620	true	wh2_main_vo_culture_Rat_Ogres	monstrous_infantry	2	false	skv_rat_ogres		false		800.0000	0.0000	true	wh2_main_vo_culture_Rat_Ogres	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
str_shadow_ogre_ror		1	monstrous_infantry	1	false	str_shadow_ogre_ror	16	1	1100	wh_main_shp_transport	1	1	16	2200	290	medium		0	319627621	true	wh2_main_vo_culture_Rat_Ogres	monstrous_infantry	3	false	skv_rat_ogres		false		1050.0000	0.0000	true	wh2_main_vo_culture_Rat_Ogres	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	false
