key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!str_pestilent																			
bc_rotten_rodent_dual_swords	0	5	21	6	2.0000	sword	sword		5	1.0000	1.0000	0.0000	false		0	10	3.0000		false
bc_pusbags_flail	0	0	15	6	2.0000	axe	hammer		1	0.2000	1.0000	0.0000	false		0	10	3.0000		false
bc_rat_spawn	0	0	31	71	7.0000	axe	claw	large	8	1.1000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	3.0000		false
bc_festering_chantor	0	0	154	66	4.0000	axe	flail	medium	5	1.0000	1.0000	0.0000	true		0	10	0.5000		false
bc_plague_lord	0	0	80	340	4.0000	axe	flail	medium	5	1.0000	1.0000	0.0000	true	wh2_main_unit_contact_plague_monk_censer_morale	0	10	0.5000		false
bc_nurgle_mount	0	0	80	340	8.0000	axe	flail	medium	6	1.5000	1.0000	0.0000	false	wh2_main_unit_contact_plague_monk_censer_morale	0	10	2.0000		false
bc_rat_spawn_ror	0	0	31	71	7.0000	axe	claw	large	8	1.1000	1.0000	0.0000	false	bc_decaying_touch	0	10	3.0000		false
bc_frothing_giant_rats_ror	0	0	6	10	2.0000	sword	claw		1	1.0000	1.0000	0.0000	true	wh2_main_unit_contact_plague_monk_censer_morale	0	10	3.0000		false
bc_the_hidden	0	0	155	365	7.0000	axe	axe	large	8	1.0000	1.0000	0.0000	false	bc_decaying_touch	0	10	0.5000		false
bc_plague_blessed	0	0	9	25	2.0000	spear	halberd		5	1.0000	1.0000	0.0000	false	bc_plague_blessed	0	10	3.0000		false
bc_slimeblades	0	0	20	6	2.0000	sword	sword		5	1.0000	1.0000	0.0000	false	wh2_dlc16_unit_contact_weakened	0	10	3.0000		false
bc_bilekin	0	5	26	8	2.0000	sword	sword		5	1.0000	1.0000	0.0000	false	wh2_dlc17_unit_contact_dazed	0	10	3.0000		false
str_pontifex_sitch	0	0	280	120	4.0000	sword	sword	large	5	1.0000	1.0000	0.0000	true	bc_plague_blessed	0	10	0.5000		false
str_pontifex_sitch_mount	0	0	140	320	6.0000	sword	sword	large	8	1.5000	1.0000	0.0000	true	bc_plague_blessed	0	10	2.0000		false
bc_plague_pontifex	0	0	126	238	4.0000	axe	flail	medium	5	1.0000	1.2500	0.0000	true	wh2_main_unit_contact_plague_monk_censer_morale	0	10	0.5000		false
str_skittice	0	0	108	300	2.0000	spear	halberd	large	8	1.5000	1.0000	0.0000	true	bc_plague_blessed	0	10	0.5000		false
str_poxtooth	0	0	271	116	4.0000	axe	staff	medium	5	1.0000	1.2500	0.0000	true	str_poxtooth_staff	0	10	0.5000		false
str_poxtooth_mount	0	5	75	140	7.0000	axe	unarmed	medium	5	1.0000	1.2500	0.0000	true	str_poxtooth_staff	4	4	2.0000		false
str_pox_rat	0	0	100	200	8.0000	axe	claw	medium	6	1.5000	1.2500	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
str_gangrous_vermin	0	5	37	9	2.0000	sword	sword		1	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	3.0000		false
str_gangrous_vermin_ror	0	5	37	9	2.0000	sword	sword		1	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	3.0000	str_gangrous_vermin_ror	false
