key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!str_skaven																																																									
hcm_vatbacks_proj	artillery	artillery_default	hcm_vatbacks_proj	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	7	11	false	false	0.1000	5.0000	55.0000	8.0000	0	0	wh2_main_skv_plagueclaw		wh2_main_skv_poison_wind_globe	0.6000	false	wh2_main_unit_contact_plague_monk_censer_morale	6.5000	1	0.0000	5.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
hcs_ror_lektrik_proj	artillery	artillery_default	hcs_ror_lektrik_proj	none	1	low	430	10	50	350.0000	10.0000	0.0000	40	85	false	false	0.1000	10.0000	70.0000	11.0000	0	10	wh2_main_skv_warp_lightning		wh2_main_skv_warp_lightning_cannon	0.4000	true	wh2_dlc12_unit_passive_zzzap	6.0000	1	0.0000	150.0000			0.0000	true	true	true	45	very_high_low_entity	600	false	false	false	true	1	false	false	true	true	1.0000		false	0.1000	0.6000		placeholder
hcs_doomrocket	misc	artillery_default	hcs_doomrocket	shell_spin	7	low	430	55	80	72.0000	10.0000	7.0000	26	13	false	false	1.0000	23.0000	250.0000	165.0000	0	0	wh2_main_hero_abilities_doomrocket		wh2_main_ability_doomrocket	1.0000	true		-1.0000	1	0.0000	25.0000	hell_storm		1.0000	true	false	true	80	medium_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.2000	1.2000		placeholder
hcs_doomrocket_shrapnel	misc	artillery_default	hcs_doomrocket_shrapnel	shell_spin	1	fixed	430	55	80	72.0000	10.0000	3.0000	0	132	false	false	0.5000	23.0000	250.0000	165.0000	0	0	wh2_main_hero_abilities_doomrocket_shrapnel			0.5000	true		-1.0000	1	0.0000	25.0000			1.0000	true	false	true	80	medium_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.2000	1.2000		placeholder
hcs_ror_technox_proj	musket	artillery_flammable	hcs_ror_technox_proj	none	1	low	80	0	55	30.0000	30.0000	0.0000	8	3	false	false	2.0000	12.0000	40.0000	1.7000	0	0	wh2_main_skv_warpfire		wh2_dlc12_ikit_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.5000	40.0000			1.0000	true	true	true	45	low	85	true	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000		placeholder
hcs_ror_blackarc_proj	artillery	artillery_default	hcs_ror_blackarc_proj	none	1	low	430	10	50	110.0000	30.0000	0.0000	5	15	false	false	0.1000	1.0000	275.0000	9.0000	0	0	wh2_main_skv_warp_lightning		wh2_main_skv_warp_lightning_cannon	0.4000	true	hcs_contact_boom	6.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high_low_entity	600	false	false	false	true	1	false	false	false	true	1.0000		false	0.0000	0.4000		placeholder
bc_virulent_proj	artillery	artillery_explosive	bc_virulent_proj	axe_spin	7	low	400	35	60	67.0000	10.0000	7.0000	20	50	false	false	0.2000	18.0000	600.0000	150.0000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	50.0000			0.0000	true	true	true	45	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
bc_chained_proj	artillery	artillery_default	bc_chained_proj	grenade_spin	1	dual_low_fixed	50	4	88	30.0000	10.0000	0.0000	1	4	false	false	0.1000	11.0000	60.0000	8.0000	0	0	wh2_main_skv_plagueclaw		wh2_main_skv_poison_wind_globe	0.6000	true	wh2_main_unit_contact_plague_monk_censer_morale	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	high	700	false	false	false	false	1	false	false	true	true	1.0000		false	1.4000	0.4000		placeholder
str_ror_skullsplinters	musket	small_arm_default		shell_spin	1	low	255	0	88	110.0000	30.0000	0.0000	18	90	false	false	0.0500	23.0000	255.0000	0.6000	0	0	wh2_dlc12_skv_warp_jezzails_ror		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	wh_dlc06_unit_contact_blinded	-1.0000	1	0.0000	150.0000			0.0000	true	true	true	45	very_high_low_entity	600	false	false	false	false	1	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
str_ror_warpshields	musket	small_arm_default		none	2	low	145	0	88	100.0000	10.0000	0.0000	2	6	false	false	0.0500	5.0000	70.0000	2.7000	0	0	wh2_dlc12_skv_ratling_gun		wh2_dlc12_bullet_ratling_gun	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	18	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
