key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!str_vrrtkin																																																									
clan_vrrtkin_skavenslave_sling_proj	sling	small_arm_default		grenade_spin	1	low	125	0	88	80.0000	5.0000	0.0000	6	1	false	false	0.1000	8.0000	65.0000	6.0000	0	0	wh2_main_skv_sling_bullet_poison		wh2_slingshot_rock_small	-1.0000	false	clan_vrrtkin_unit_contact_globe_residue	-1.0000	1	0.0000	1.0000			0.0000	false	true	true	50	very_low	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.0000	0.9000		placeholder
clan_vrrtkin_poison_globe_proj	artillery	artillery_default	clan_vrrtkin_poison_globe_proj	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	6	2	false	false	0.1000	5.0000	55.0000	8.0000	3	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	-1.0000	false	clan_vrrtkin_poisoned_wind	6.5000	1	0.0000	5.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
clan_vrrtkin_death_globe_proj	artillery	artillery_default	clan_vrrtkin_death_globe_proj	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	10	3	false	false	0.1000	5.0000	55.0000	6.0000	3	0	wh2_main_skv_death_globe		wh2_main_skv_death_globe	-1.0000	false	clan_vrrtkin_death_wind	6.5000	1	0.0000	5.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
clan_vrrtkin_warpgas_proj	musket	artillery_flammable	clan_vrrtkin_poison_globe_proj	none	1	low	80	0	55	30.0000	5.0000	0.0000	4	2	false	false	1.0000	7.0000	30.0000	3.4000	0	0	wh2_main_skv_warpfire		wh2_warpfiregun_flame	-1.0000	false	clan_vrrtkin_poisoned_wind	3.0000	4	0.3500	40.0000			1.0000	true	true	true	45	low	85	true	true	false	false	1	false	false	false	false	1.0000		false	0.4000	1.2000		placeholder
clan_vrr_globogres_bomb_proj	arrow	small_arm_default	clan_vrrtkin_poison_globe_proj	grenade_spin	3	low	95	4	65	30.0000	5.0000	5.0000	8	2	false	false	0.1000	10.0000	50.0000	8.0000	0	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	0.5000	false	clan_vrrtkin_poisoned_wind	6.5000	1	0.0000	10.0000	wh_dlc05_spell_arrow_of_kurnous		0.0000	true	true	true	30	very_low	120	false	true	false	false	1	true	false	false	false	1.0000		false	0.2000	1.2000		placeholder
clan_vrr_globe_upgaded_unit_potent_proj	artillery	artillery_default	clan_vrr_globe_upgaded_unit_potent_proj	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	10	4	false	false	0.1000	5.0000	55.0000	8.0000	3	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	-1.0000	false	clan_vrr_globe_effect_contact_potent_globes	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
clan_vrr_globe_upgaded_unit_halucent_proj	artillery	artillery_default	clan_vrr_globe_upgaded_unit_halucent_proj	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	6	2	false	false	0.1000	5.0000	55.0000	8.0000	6	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	-1.0000	false	clan_vrr_globe_effect_contact_hallucinogenic_globes	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
clan_vrr_globe_upgaded_unit_acid_proj	artillery	artillery_default	clan_vrr_globe_upgaded_unit_acid_proj	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	6	2	false	false	0.1000	5.0000	55.0000	8.0000	3	0	wh2_main_skv_poison_wind_globe		wh2_main_skv_poison_wind_globe	-1.0000	false	clan_vrr_globe_effect_contact_acid_globes	6.5000	1	0.0000	10.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
clan_vrrtkin_gasthrower_missle_proj	artillery	artillery_flammable	wh2_main_skv_warpfire	none	1	low	120	0	55	30.0000	10.0000	0.0000	8	3	false	false	1.0000	7.0000	40.0000	1.7000	0	0	wh2_main_skv_warpfire		wh2_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.3500	40.0000			1.0000	true	true	true	45	low	120	true	true	false	false	1	false	false	false	false	1.0000		false	1.4000	0.4000		placeholder
clan_vrrtkin_mortar_missle_proj	artillery	artillery_default	clan_vrrtkin_mortar_missle	axe_spin	1	fixed	600	80	56	200.0000	0.0000	0.0000	23	13	false	false	3.0000	18.0000	60.0000	300.0000	6	0	clan_vrrtkin_mortar_missle_proj		wh2_dlc14_skv_poison_wind_mortar_globe	2.0000	false	clan_vrrtkin_poisoned_wind	-1.0000	1	0.0000	25.0000			0.0000	true	true	true	50	low_magic	1500	false	false	false	false	1	false	false	true	false	1.0000		false	0.2000	0.6000		placeholder
clan_vrrtkin_globeclaw_catapult_missle_proj	artillery	artillery_default	clan_vrrtkin_poison_globe_proj	axe_spin	12	fixed	600	60	56	90.0000	1.0000	22.0000	3	1	false	false	0.1600	22.0000	100.0000	225.0000	0	0	clan_vrrtkin_mortar_missle_proj		wh2_dlc14_skv_poison_wind_mortar_globe	2.0000	false	clan_vrrtkin_poisoned_wind	-1.0000	1	0.0000	25.0000			0.0000	true	true	true	50	low_magic	600	false	false	false	false	1	false	false	true	false	1.0000		false	0.6000	0.9000		placeholder
clan_vrrtkin_poison_wind_mortar_proj	artillery	artillery_default	clan_vrrtkin_poison_wind_mortar_proj	axe_spin	1	fixed	400	60	56	200.0000	0.0000	0.0000	14	14	false	false	0.1600	14.0000	2.0000	300.0000	3	0	wh2_dlc14_skv_poison_wind_mortar_globe		wh2_dlc14_skv_poison_wind_mortar_globe	0.2000	false	clan_vrrtkin_poisoned_wind	14.0000	1	300.0000	12.5000			0.0000	true	true	true	50	low_magic	1000	false	false	false	false	1	false	false	true	false	1.0000		false	0.2000	0.9000		placeholder
vrr_upgrade_unit_potent_globes_death	artillery	artillery_default	clan_vrrtkin_death_globe_proj_potent	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	14	5	false	false	0.1000	5.0000	55.0000	6.0000	6	0	wh2_main_skv_death_globe		wh2_main_skv_death_globe	-1.0000	false	clan_vrr_globe_effect_contact_potent_globes_death	6.5000	1	0.0000	5.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
vrr_upgrade_unit_halucent_globes_death	artillery	artillery_default	clan_vrrtkin_death_globe_proj_halu	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	10	3	false	false	0.1000	5.0000	55.0000	6.0000	3	0	wh2_main_skv_death_globe		wh2_main_skv_death_globe	-1.0000	false	clan_vrr_globe_effect_contact_hallucinogenic_globes_death	6.5000	1	0.0000	5.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
vrr_upgrade_unit_acid_globes_death	artillery	artillery_default	clan_vrrtkin_death_globe_proj_acid	grenade_spin	1	dual_low_fixed	85	4	88	30.0000	5.0000	0.0000	10	3	false	false	0.1000	5.0000	55.0000	6.0000	3	0	wh2_main_skv_death_globe		wh2_main_skv_death_globe	-1.0000	false	clan_vrr_globe_effect_contact_acid_globes_death	6.5000	1	0.0000	5.0000			0.0000	true	true	true	30	very_low	120	false	true	false	false	1	false	false	false	false	1.0000		false	0.2000	1.2000		placeholder
vrr_upgrade_unit_potent_globes_mortar	artillery	artillery_default	clan_vrrtkin_poison_wind_mortar_proj_potent	axe_spin	1	fixed	400	60	56	200.0000	0.0000	0.0000	18	16	false	false	0.1600	14.0000	2.0000	300.0000	6	0	wh2_dlc14_skv_poison_wind_mortar_globe		wh2_dlc14_skv_poison_wind_mortar_globe	0.2000	false	clan_vrr_globe_effect_contact_potent_globes	14.0000	1	300.0000	12.5000			0.0000	true	true	true	50	low_magic	1000	false	false	false	false	1	false	false	true	false	1.0000		false	0.2000	0.9000		placeholder
