unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/str_crooktail																																													
str_crooktail_rat_spawn		-1	monstrous_infantry	1	false	str_crooktail_rat_spawn	12	3	1200	wh_main_shp_transport	1	1	12	1200	300	medium		0	767310102	true	wh_dlc03_vo_culture_Spawn	monstrous_infantry	4	false	chaos_spawn		false		1200.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
str_crooktail_rat_spawn_summoned		-1	monstrous_infantry	1	false	str_crooktail_rat_spawn_summoned	12	3	1200	wh_main_shp_transport	1	1	12	1200	300	medium		0	767310103	true	wh_dlc03_vo_culture_Spawn	monstrous_infantry	4	false	chaos_spawn		false		1200.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
str_crooktail_rat_spawn_hero		-1	hero	1	false	str_crooktail_rat_spawn_hero	1	0	1400	wh_main_shp_transport	1	1	1	1200	300	heavy		0	767310104	false	wh_dlc03_vo_culture_Spawn	chs_exalted_hero	0	true	nur_spawn_of_nurgle		true		1400.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	0	false	false		0.0000	true	1	false
str_crooktail_rat_spawn_lord		-1	lord	1	false	str_crooktail_rat_spawn_lord	1	0	1200	wh_main_shp_transport	1	1	1	1000	250	heavy		0	767310105	false	wh_dlc03_vo_culture_Spawn	infantry_sword	0	true	nur_spawn_of_nurgle		true		1200.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	0	false	false		0.0000	true	1	false
str_crooktail_viciss		-1	lord	1	false	str_crooktail_viciss	1	0	1550	wh_main_shp_transport	1	1	1	1550	388	heavy		0	767310106	true	wh2_main_vo_culture_Skaven	wh2_main_lord_monstrous_infantry	0	true	liz_kroxigor_lord		true		1550.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh_main_vo_actor_default	0	true	true	0	false	false		0.0000	false	1	false
str_crooktail_slave_ror		1	melee_infantry	1	false	str_crooktail_slave_ror	180	1	300	wh_main_shp_transport	1	1	180	300	75	medium		0	767310107	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		300.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
str_crooktail_slave_ror_rats		1	war_beast	1	false	str_crooktail_slave_ror_rats	180	1	300	wh_main_shp_transport	1	1	180	300	75	medium		0	767310108	true	wh2_dlc16_vo_culture_Brood_Horror	cr_skv_mon_giant_rat	1	false	skv_brood_horror		false		300.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
str_crooktail_slinger_ror		1	missile_infantry	1	false	str_crooktail_slinger_ror	140	1	350	wh_main_shp_transport	1	1	140	350	87	medium		0	767310109	true	wh2_main_vo_culture_Skaven	wh2_main_missile_infantry_sling	1	false	skv_clan_rats		false		100.0000	250.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
str_crooktail_clanrat_ror		1	melee_infantry	1	false	str_crooktail_clanrat_ror	160	1	600	wh_main_shp_transport	1	1	160	600	150	medium		0	767310110	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	2	false	skv_clan_rats		false		600.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
str_crooktail_clanrat_spear_ror		1	melee_infantry	1	false	str_crooktail_clanrat_spear_ror	160	1	575	wh_main_shp_transport	1	1	160	575	143	medium		0	767310111	true	wh2_main_vo_culture_Skaven	infantry_spear	1	false	skv_clan_rats_20_degrees		false		575.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
str_crooktail_rat_spawn_ror		1	monstrous_infantry	1	false	str_crooktail_rat_spawn_ror	12	1	1650	wh_main_shp_transport	1	1	12	1650	412	medium		0	767310112	true	wh_dlc03_vo_culture_Spawn	monstrous_infantry	4	false	chaos_spawn		false		1650.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
