unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/str_vrrtkin																																													
clan_vrrtkin_clanrat_basic		-1	melee_infantry	1	false	clan_vrrtkin_clanrat_basic	140	0	300	wh_main_shp_transport	1	1	160	300	75	medium		0	201288771	true	wh2_main_vo_culture_Skaven	infantry_sword	2	false	skv_clan_rats		false		300.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_clanrat_shield		-1	melee_infantry	1	false	clan_vrrtkin_clanrat_shield	140	0	350	wh_main_shp_transport	1	1	160	350	87	medium		0	201288772	true	wh2_main_vo_culture_Skaven	infantry_sword	3	false	skv_clan_rats		false		350.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_clanrat_spear		-1	melee_infantry	1	false	clan_vrrtkin_clanrat_spear	140	0	325	wh_main_shp_transport	1	1	160	325	81	medium		0	201288773	true	wh2_main_vo_culture_Skaven	infantry_spear	2	false	skv_clan_rats_20_degrees		false		325.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_clanrat_spear_shield		-1	melee_infantry	1	false	clan_vrrtkin_clanrat_spear_shield	140	0	375	wh_main_shp_transport	1	1	160	375	93	medium		0	201288774	true	wh2_main_vo_culture_Skaven	infantry_spear	3	false	skv_clan_rats_20_degrees		false		375.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_skavenslave_spearmen		-1	melee_infantry	1	false	clan_vrrtkin_skavenslave_spearmen	160	0	150	wh_main_shp_transport	1	1	180	150	19	medium		0	201288775	true	wh2_main_vo_culture_Skaven	infantry_spear	1	false	skv_clan_rats_20_degrees		false		150.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_skavenslaves		-1	melee_infantry	1	false	clan_vrrtkin_skavenslaves	160	0	125	wh_main_shp_transport	1	1	180	125	16	medium		0	201288776	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		125.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_stormvermin		-1	melee_infantry	2	false	clan_vrrtkin_stormvermin	120	0	1000	wh_main_shp_transport	1	1	160	1000	250	medium		0	201288777	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_halberd	4	false	skv_clan_rats		false		1000.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_stormvermin_shield		-1	melee_infantry	2	false	clan_vrrtkin_stormvermin_shield	120	0	1050	wh_main_shp_transport	1	1	160	1050	262	medium		0	201288778	true	wh2_main_vo_culture_Skaven	wh2_main_skv_infantry_sword_stormvermin	5	false	skv_clan_rats		false		1050.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_skavenslave_slingers		-1	missile_infantry	1	false	clan_vrrtkin_skavenslave_slingers	120	0	200	wh_main_shp_transport	1	1	140	200	25	medium		0	201288779	true	wh2_main_vo_culture_Skaven	wh2_main_missile_infantry_sling	1	false	skv_clan_rats		false		40.0000	160.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_poison_wind_globadiers		-1	missile_infantry	1	false	clan_vrrtkin_poison_wind_globadiers	80	0	550	wh_main_shp_transport	1	1	80	550	137	medium		0	201288780	true	wh2_main_vo_culture_Skaven	wh2_main_skv_missile_infantry_globe	3	false	skv_clan_rats		false		50.0000	500.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_death_globe_bombardiers		-1	missile_infantry	2	false	clan_vrrtkin_death_globe_bombardiers	80	0	900	wh_main_shp_transport	1	1	80	900	225	medium		0	201288781	true	wh2_main_vo_culture_Skaven	wh2_main_skv_missile_infantry_globe_death	5	false	skv_clan_rats_20_degrees		false		50.0000	850.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_warpfire_thrower		-1	missile_infantry	2	false	clan_vrrtkin_warpfire_thrower	32	0	550	wh_main_shp_transport	1	1	32	700	175	medium		0	201288782	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_weapon_team_warpfire	3	false	skv_warpfire_thrower		false	composite_scene\porthole\warpthrower_porthole_01.csc	70.0000	630.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_inf_warplock_jezzails		-1	missile_infantry	2	false	clan_vrrtkin_inf_warplock_jezzails	32	0	900	wh_main_shp_transport	1	1	32	900	225	medium		0	201288783	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_weapon_team_gun	3	false	skv_jezzails		false		90.0000	810.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_inf_cutthroats		-1	melee_infantry	1	false	clan_vrrtkin_inf_cutthroats	120	0	700	wh_main_shp_transport	1	1	120	700	175	medium		0	201288784	true	wh2_main_vo_culture_Skaven	wh2_main_infantry_dual_swords	3	false	skv_plague_monks		false		600.0000	100.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Plague_Monk	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_inf_turntails_ror		1	melee_infantry	1	false	clan_vrrtkin_inf_turntails_ror	140	1	550	wh_main_shp_transport	1	1	160	550	137	medium		0	201288785	true	wh2_main_vo_culture_Skaven	infantry_sword	3	false	skv_clan_rats		false		550.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
clan_vrrtkin_mon_hell_pit_abomination		-1	monster	3	false	clan_vrrtkin_mon_hell_pit_abomination	1	0	1800	wh_main_shp_transport	1	1	1	1800	450	medium		0	201288786	true	wh2_main_vo_culture_Hell_Pit_Abomination	wh2_main_skv_hell_pit	5	true	skv_hellpit_abomination		true		1800.0000	0.0000	true	wh2_main_vo_culture_Skaven	false	wh_main_vo_actor_default	0	false	false	2	false	false		0.0000	true	1	false
clan_vrrtkin_ratogres_ror		1	monstrous_cavalry	1	false	clan_vrrtkin_ratogres_ror	12	1	1200	wh_main_shp_transport	1	1	12	1700	330	medium		0	201288787	true	wh2_main_vo_culture_Skaven	monstrous_infantry	5	true	skv_clan_rats		false		1600.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Unit	0	true	false	1	false	false		0.0000	true	1	true
clan_vrrtkin_ratogres		-1	monstrous_infantry	2	false	clan_vrrtkin_ratogres	16	0	800	wh_main_shp_transport	1	1	16	800	200	medium		0	201288797	true	wh2_main_vo_culture_Rat_Ogres	monstrous_infantry	3	false	skv_rat_ogres		false		800.0000	0.0000	true	wh2_main_vo_culture_Rat_Ogres	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_mortar		-1	warmachine	2	false	clan_vrrtkin_mortar	32	0	600	wh_main_shp_transport	1	1	32	600	150	medium		0	201288798	true	wh2_main_vo_culture_Skaven	cannon	2	false	skv_clan_rats		false		60.0000	540.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	false	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_gasthrower		-1	warmachine	2	false	clan_vrrtkin_gasthrower	56	0	1000	wh_main_shp_transport	1	1	56	1000	250	medium		0	201288799	true	wh2_main_vo_culture_Skaven	cannon	4	false	skv_clan_rats		false		100.0000	900.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_globeclaw_catapult		-1	warmachine	4	false	clan_vrrtkin_globeclaw_catapult	56	0	900	wh_main_shp_transport	1	1	56	900	225	medium		0	201288800	true	wh2_main_vo_culture_Skaven	catapult	2	false	skv_clan_rats		false		90.0000	810.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_veh_doomwheel		-1	warmachine	3	false	clan_vrrtkin_veh_doomwheel	25	0	1450	wh_main_shp_transport	1	1	25	1400	350	medium		0	201288801	true	wh2_main_vo_culture_Skaven	wh2_main_skv_doomwheel	4	true	skv_doomwheel		true		980.0000	420.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	2	false	false		0.0000	true	1	false
clan_vrrtkin_veh_doom_flayer		-1	chariot	2	false	clan_vrrtkin_veh_doom_flayer	4	0	1050	wh_main_shp_transport	1	1	4	1100	300	heavy		0	201288802	true	wh2_main_vo_culture_Skaven	wh2_main_skv_doomwheel	4	true	skv_doomwheel		false	composite_scene\porthole\wm_dlc12_doomflayer_porthole_01.csc	1200.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	false	false	6	false	false		0.0000	true	1	false
clan_vrrtkin_art_poison_wind_mortar		-1	missile_infantry	2	false	clan_vrrtkin_art_poison_wind_mortar	14	0	1000	wh_main_shp_transport	1	1	14	1000	250	medium		0	201288803	true	wh2_main_vo_culture_Skaven	wh2_dlc14_skv_weapon_team_poisoned_wind_mortar	4	false	skv_wind_mortars		false		50.0000	900.0000	false	wh2_main_vo_culture_Skaven	false	wh2_dlc14_vo_actor_Skaven_Eshin_Triad	0	true	false	6	false	false		0.0000	true	1	false
