key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/str_verms																			
str_verms_bat_wep	0	0	20	6	1.0000	knife	claw		1	1.0000	0.5000	0.0000	false	str_verms_distracting	0	10	4.0000		false
str_verms_fly_wep	0	0	14	4	1.0000	knife	claw		1	1.0000	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
str_verms_scorp_wep	0	6	20	6	1.0000	axe	claw		5	1.0000	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	3.7000		false
str_verms_gs_wep	0	0	30	62	3.0000	knife	claw		1	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
str_verms_giant_bat_wep	0	0	194	102	20.0000	axe	claw	medium	5	1.0000	0.5000	0.0000	false	str_verms_distracting	0	3	4.0000		false
str_verms_giant_scorp_wep	0	10	90	220	7.0000	axe	claw	medium	5	1.0000	1.2500	0.0000	false	str_verms_toxic_barb	0	10	3.7000		false
str_verms_verminkeeper_wep	8	0	12	6	3.0000	spear	whip		5	1.0000	0.7500	0.0000	false		0	2	4.0000		false
str_verms_lamplighter_wep	6	0	15	4	1.0000	spear	spear		5	1.0000	0.7500	1.0000	false	str_verms_oil_fire	0	10	4.3000		false
str_verms_tenscratch	20	0	280	140	3.0000	spear	whip	large	5	1.0000	0.7500	1.0000	false	str_verms_oil_fire	0	2	4.0000		false
str_verms_swarmleader	0	20	230	150	3.0000	sword	sword	medium	3	1.0000	1.0000	0.0000	false	str_verms_distracting	0	10	3.8000		false
str_verms_swarmcaller	0	0	217	93	3.0000	axe	staff	medium	5	1.0000	1.2500	0.0000	false	str_verms_toxic_barb	0	10	4.0000		false
str_verms_spider_riders_ror	0	0	10	21	3.0000	knife	claw		1	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
